BOURGOIN JALLIEU, 100
BIGUGLIA, 100
GEISPOLSHEIM, 99
GENTILLY, 99
SARROLA CARCOPINO, 98
ROMANS SUR ISERE, 98
CERGY PONTOISE, 98
ALBERTVILLE, 98
ORSAY, 98
FLOIRAC, 98
VILLENEUVE LOUBET, 97
CREIL, 97
WOIPPY, 97
CHANGE, 97
INGRE, 97
SAINT JEAN DE LA RUELLE, 96
VALLAURIS, 96
CHAMPS SUR MARNE, 96
AUBENAS, 96
BONNEUIL SUR MARNE, 96
SAINT PIERRE DES CORPS, 96
GENAS, 96
VOISINS LE BRETONNEUX, 96
PORTO VECCHIO, 96
LOOS, 95
MONTBELIARD, 95
AYTRE, 95
ANCENIS SAINT GEREON, 95
LE HAILLAN, 94
GONESSE, 94
LIEVIN, 94
CHENOVE, 94
ROSNY SOUS BOIS, 94
VILLENEUVE LA GARENNE, 94
COUERON, 94
CHOISY LE ROI, 93
VITRE, 93
ECULLY, 93
SARREGUEMINES, 92
SAINT GENIS LAVAL, 92
LA FARLEDE, 92
LE PLESSIS ROBINSON, 92
SELESTAT, 91
BORGO, 91
ARTIGUES PRES BORDEAUX, 90
LES MUREAUX, 90
DIEPPE, 90
GOUSSAINVILLE, 89
BRUZ, 89
CORBAS, 89
LANNION, 89
LE KREMLIN BICETRE, 88
VILLENEUVE SUR LOT, 88
SAINTE GENEVIEVE DES BOIS, 88
NOISY LE SEC, 88
SARTROUVILLE, 87
SAINT JEAN, 87
LUCE, 87
SAINT DIE DES VOSGES, 86
AGDE, 86
VAUX LE PENIL, 86
BRIE COMTE ROBERT, 86
FOIX, 86
CROISSY BEAUBOURG, 86
EYBENS, 86
SAUMUR, 86
ANDREZIEUX BOUTHEON, 86
SAINT LEU, 86
SAINT DIZIER, 85
LA GARENNE COLOMBES, 85
NEUILLY SUR MARNE, 85
RIOM, 85
SAINT APOLLINAIRE, 84
DIGNE LES BAINS, 84
ISSOIRE, 84
LAXOU, 83
SAINT MEDARD EN JALLES, 83
PONTAULT COMBAULT, 83
POISSY, 83
MARMANDE, 83
SAINT EGREVE, 83
LIBOURNE, 82
BRESSUIRE, 82
LE BLANC MESNIL, 82
HENIN BEAUMONT, 82
LUNEL, 82
SAINT LAURENT BLANGY, 82
L ETANG SALE, 81
CACHAN, 81
ISTRES, 81
MURET, 81
OYONNAX, 81
RIS ORANGIS, 80
PERTUIS, 80
LA TESTE DE BUCH, 80
LA MOTTE SERVOLEX, 80
BONDOUFLE, 80
SAINT ANDRE LEZ LILLE, 80
BEAUNE, 80
DRANCY, 80
LES HERBIERS, 80
LA RAVOIRE, 79
LE GRAND QUEVILLY, 79
MOUANS SARTOUX, 79
MONTAIGU VENDEE, 79
MORLAIX, 79
ORANGE, 79
LONGVIC, 78
MANDELIEU LA NAPOULE, 78
PEROLS, 78
GUERET, 78
EPERNAY, 78
SAINT OUEN, 77
MONTBONNOT SAINT MARTIN, 77
BONDY, 77
LA COURNEUVE, 77
ANNEMASSE, 77
ARMENTIERES, 77
ROYAN, 75
EPAGNY METZ TESSY, 75
WAMBRECHIES, 75
VICHY, 75
VAL DE REUIL, 75
ENNERY, 75
LOURDES, 75
LE BOURGET DU LAC, 75
SARAN, 74
LAMBERSART, 74
SAINT DIDIER AU MONT D OR, 74
ELANCOURT, 74
BIOT, 74
HEILLECOURT, 74
LAGNY SUR MARNE, 74
PACE, 74
LOGNES, 74
BLANQUEFORT, 74
